term,counts
coronavirus,34939377
covid19,12968418
covid,12889136
19,12359270
nan,5296239
people,3615540
amp,3144906
via,3124663
trump,2812624
pandemic,2668134
china,2665906
new,2592253
virus,2547048
us,2546283
cases,2506590
news,1956622
like,1825717
get,1791888
one,1647121
health,1598702
time,1508466
world,1498207
di,1497720
si,1437072
deaths,1396914
wuhan,1358899
help,1352784
crisis,1351230
lockdown,1339595
home,1318762
il,1292313
need,1287372
000,1286928
know,1211369
would,1195990
realdonaldtrump,1194422
2020,1170956
et,1157898
corona,1124505
please,1118871
may,1085533
could,1077285
outbreak,1070676
death,1056376
go,1033747
due,1033110
des,1022655
covid_19,1015566
da,1012337
government,1009781
see,1009013
first,989709
casos,981715
says,980613
stay,971755
spread,969838
day,959287
good,947308
work,945415
du,944237
test,942938
going,940947
na,936082
die,935703
per,917831
many,916389
positive,913974
est,907733
take,903812
today,885688
still,882535
even,879652
state,860569
think,825147
country,822801
testing,800583
back,799692
make,799396
patients,790714
live,781214
response,780842
uk,774447
10,773314
pour,765719
right,763424
care,753345
hospital,745167
social,737549
re,737136
total,735239
let,734509
also,729646
well,726560
stop,722951
support,716354
said,714218
say,699224
president,696675
fight,694242
want,685445
way,684502
the,679933
read,679456
really,670757
covidー19,664207
india,654026
workers,643337
public,642750
global,640970
youtube,639235
non,629532
much,628422
chinese,617874
pas,616584
pandemia,616229
times,616161
case,616064
confirmed,612637
keep,612374
tests,611431
days,606206
come,600541
latest,598977
got,598307
video,592477
amid,591400
great,591051
everyone,576489
last,575124
dan,569178
safe,566559
quarantine,564706
must,564403
20,561375
every,561254
man,553836
update,553635
dr,546538
life,545620
flu,543075
daily,542726
business,542723
media,539177
tested,539067
em,538837
vaccine,538495
year,538346
au,535369
medical,532519
two,530836
real,530393
com,527092
number,523784
vía,520835
thank,517715
gt,514824
face,513258
une,512081
economy,507513
week,505207
americans,499261
hope,498854
look,492543
free,492126
america,491798
states,491694
não,490651
use,487757
italy,474652
thanks,473648
made,473513
million,473425
data,472301
true,471070
gobierno,470844
working,466643
money,465400
risk,465312
twitter,464888
getting,464798
never,463220
va,463155
usa,462997
lives,462257
sur,461171
died,460079
mais,459734
che,459723
salud,457253
around,457233
house,455180
mundo,455020
qui,454513
post,453643
infected,452352
family,451955
100,450780
24,450248
ser,444150
next,443430
30,441385
god,440587
another,439349
better,438889
york,438641
since,435833
updates,434400
to,432785
país,432389
countries,431195
eu,430136
watch,428664
gente,428652
dans,427178
masks,425473
ca,423290
weeks,423195
coronaviruspandemic,419135
disease,416471
ne,415885
end,415222
thing,412979
april,412205
casa,412152
best,411509
15,410788
give,410776
call,408266
plus,407660
plan,407651
already,407248
cuarentena,406666
check,405088
long,399967
sa,398536
open,395044
information,393586
impact,392853
11,386398
app,386223
personas,385927
love,385306
emergency,384543
online,382755
symptoms,381769
without,380980
food,380422
je,380209
ce,379575
ve,376582
toll,376481
covid2019,374631
city,372864
12,372706
report,372000
show,371987
stayhome,371623
bill,368939
yet,366753
anyone,366214
france,365896
rate,364639
doctors,364556
big,363857
done,363792
away,363038
put,362701
in,361277
needs,360427
far,359912
things,358743
protect,357575
community,356869
14,355014
staff,353860
article,353515
find,353157
job,352937
travel,351233
reported,350132
person,349607
distancing,348048
sure,347725
situation,347584
numbers,347533
solo,346839
part,345133
ahora,344690
years,342789
caso,341704
yang,341695
someone,341218
um,340715
cnn,340525
old,339549
trying,337043
something,335916
der,335632
taking,335576
breaking,334896
important,334728
sick,334285
mask,333575
par,333223
might,333216
top,332630
españa,331947
american,331325
march,331141
bad,330284
reports,329681
start,329138
believe,329038
hoy,328209
rt,327249
self,326819
medidas,326581
pm,326420
shit,326280
italia,325809
control,325002
van,324923
south,323885
making,322748
national,321795
nothing,321273
coronavirusoutbreak,321042
hit,320546
county,317902
dos,317693
change,317438
together,316648
cdc,316614
vous,316520
coming,315863
using,315657
story,315291
pay,313678
bien,312892
white,312103
place,312016
relief,311733
economic,309706
tell,308578
high,307863
others,307213
enough,305841
share,305739
local,304962
así,304900
hospitals,304264
50,304076
mas,303763
and,303189
doctor,302581
ever,302578
yes,298543
human,298471
día,297561
govt,295586
months,295334
officials,293708
follow,293435
cause,293168
full,290872
oh,290206
healthcare,290016
save,289687
treatment,287954
order,287810
hands,287512
dead,287425
businesses,287186
team,286495
und,284909
nhs,283712
saying,283299
fuck,282092
measures,281941
children,281715
soon,279020
spreading,278199
ai,277851
das,276968
close,275798
fake,275356
bbc,274758
sign,274561
everything,274415
lot,273768
novel,273068
feel,272935
presidente,272477
de,272089
contact,272018
puede,271768
cure,271693
untuk,271315
infection,271238
point,270550
hard,270422
possible,270236
school,269791
experts,269302
system,269284
across,268912
always,266691
least,265271
actually,265017
muertos,264605
2019,264181
market,263394
qu,262808
coronavírus,262486
hacer,262173
continue,261713
patient,260500
it,259218
link,258701
maybe,255953
13,255455
gov,254531
कर,254516
ll,254510
ver,254406
month,254105
minister,253688
info,253466
nous,253427
18,253152
of,251496
this,250738
thought,250373
anything,250320
research,250101
